time [s],RR_interval_quality [NA](/api/datatype/1004/)
5.55859375,128
6.3046875,128
7.05078125,128
7.78515625,128
8.51171875,128
9.25,128
9.984375,128
10.7109375,0
11.44140625,0
12.1796875,0
12.91015625,0
13.640625,0
14.3828125,0
15.1171875,0
15.859375,0
16.6015625,0
17.35546875,0
18.11328125,0
18.8671875,0
19.625,0
20.40234375,0
21.16796875,0
21.9375,0
22.69921875,0
23.46484375,0
24.2265625,0
24.99609375,0
25.76953125,0
26.515625,0
27.26171875,0
28.0234375,0
28.76171875,0
29.49609375,0
30.2265625,0
31.0078125,0
31.73046875,0
32.48046875,0
33.2265625,0
33.9609375,0
34.71484375,0
35.44140625,0
36.20703125,0
36.93359375,0
37.6875,0
38.4296875,0
39.15625,0
39.890625,0
40.6640625,0
41.39453125,0
42.1640625,0
42.91015625,0
43.67578125,0
44.44140625,0
45.203125,0
45.95703125,0
46.7265625,0
47.48046875,0
48.19921875,0
48.9609375,0
49.70703125,0
50.453125,0
51.1953125,0
51.9375,0
52.6953125,0
53.453125,0
54.19921875,0
54.97265625,0
55.73828125,0
56.4921875,0
57.24609375,0
57.98828125,0
58.71484375,0
59.4765625,0
60.21484375,0
60.953125,0
61.69140625,0
62.41796875,0
63.16015625,0
63.89453125,0
64.66796875,0
65.41015625,0
66.16015625,0
66.90234375,0
67.6171875,0
68.80859375,128
70.015625,128
71.1953125,128
72.3984375,128
73.61328125,128
74.84765625,128
76.0625,128
77.30859375,128
78.53515625,0
79.76953125,0
81.01171875,0
82.2109375,0
83.40625,0
84.58984375,0
85.76953125,0
86.953125,0
88.1484375,0
89.33984375,0
90.51953125,0
91.734375,0
92.9296875,0
94.1171875,0
95.3125,0
96.51171875,0
97.69140625,0
98.44921875,128
99.20703125,128
99.94921875,128
100.6875,128
101.453125,128
102.2109375,128
102.9765625,128
103.7421875,0
104.5,0
105.2734375,0
106.046875,0
106.8046875,0
107.54296875,0
108.28125,0
109.0078125,0
109.74609375,0
110.4765625,0
111.203125,0
111.94140625,0
112.69140625,0
113.47265625,0
114.2265625,0
115.00390625,0
115.7734375,0
116.53125,0
117.28125,0
118.03125,0
118.765625,0
119.4921875,0
120.2421875,0
120.97265625,0
121.71875,0
122.47265625,1
