uri,start_date,duration,activity_avg,activity_min,activity_max,cadence_min,cadence_max,cadence_avg,heartrate_avg,heartrate_min,heartrate_max,breathingrate_avg,breathingrate_min,breathingrate_max,energy_avg,energyecg_avg,energy_min,energy_max,energy_total,tidalvolume_avg,tidalvolume_min,tidalvolume_max,minuteventilation_avg,minuteventilation_min,minuteventilation_max,tidalvolume_adjusted_avg,tidalvolume_adjusted_min,tidalvolume_adjusted_max,minuteventilation_adjusted_avg,minuteventilation_adjusted_min,minuteventilation_adjusted_max,step_count,speed_avg,speed_max,speed_with_pauses_avg,altitude_gain,altitude_loss,distance,HRVHFnorm_avg,HRVHFnorm_min,HRVHFnorm_max,HRVLFnorm_avg,HRVLF_avg,HRVHF_avg,PowerNN,SDNN,SDANN,AVNN,ASDNN,RMSSD,triangularindex,SleepTotalTime,SleepPositionP1Time,SleepPositionP2Time,SleepPositionP3Time,SleepPositionP4Time,SleepPositionP5Time,SleepPositionChanges,SleepEfficiency,VO2_max,heartrate_recovery
,,s,g,g,g,spm,spm,spm,bpm,bpm,bpm,rpm,rpm,rpm,watt,watt,watt,watt,J,L,L,L,L/min,L/min,L/min,L,L,L,L/min,L/min,L/min,Step,m/s,m/s,m/s,m,m,m,%,%,%,%,ms^2,ms^2,ms^2,s,s,s,s,ms,,s,s,s,s,s,s,,%,ml/kg*min,bpm
/api/record/122445/,2017-04-18 13:42:38.308594,129.0,0.22265625,0.0859375,0.4140625,,,,73.15625,49,92,10.0,10.0,10.0,143.49506458245764,162.75950053587843,82.28058425,272.1263734748908,18367.36826655458,,,,,,,,,,,,,2,,,,0.0,0.0,0,,,,,,,,,,,,63.488402375257536,,,0,0,0,0,0,0,,,
