HEXOSKINTIME,VALUE
372177815965,0
372177816221,139
372177816477,127
372177816733,127
372177816989,134
372177817245,141
372177817501,138
372177817757,141
372177818013,164
372177818269,180
372177818525,185
372177818781,171
372177819037,150
372177819293,140
372177819549,137
372177819805,0
372177820061,137
372177820317,135
372177820573,132
372177820829,130
372177821085,129
372177821341,128
372177821597,129
372177821853,0
372177822109,0
372177822365,0
372177822621,0
372177822877,0
372177823133,0
372177823389,148
372177823645,173
372177823901,164
372177824157,141
372177824413,133
372177824669,0
372177824925,0
372177825181,151
372177825437,176
372177825693,165
372177825949,136
372177826205,0
372177826461,125
372177826717,129
372177826973,134
372177827229,0
372177827485,125
372177827741,109
372177827997,0
372177828253,0
372177828509,0
372177828765,0
372177829021,0
372177829277,0
372177829533,0
372177829789,0
372177830045,109
372177830301,117
372177830557,0
372177830813,0
372177831069,0
372177831325,0
372177831581,0
372177831837,120
372177832093,120
372177832349,0
372177832605,0
372177832861,0
372177833117,0
372177833373,0
372177833629,0
372177833885,0
372177834141,0
372177834397,0
372177834653,120
372177834909,123
372177835165,124
372177835421,123
372177835677,124
372177835933,127
372177836189,131
372177836445,137
372177836701,136
372177836957,134
372177837213,132
372177837469,131
372177837725,125
372177837981,0
372177838237,0
372177838493,0
372177838749,115
372177839005,117
372177839261,125
372177839517,0
372177839773,127
372177840029,0
372177840285,0
372177840541,0
372177840797,0
372177841053,0
372177841309,0
372177841565,0
372177841821,0
372177842077,0
372177842333,0
372177842589,0
372177842845,0
372177843101,0
372177843357,0
372177843613,0
372177843869,0
372177844125,125
372177844381,126
372177844637,0
372177844893,0
372177845149,0
372177845405,0
372177845661,130
372177845917,0
372177846173,0
372177846429,134
372177846685,135
372177846941,0
372177847197,135
372177847453,134
372177847709,0
372177847965,131
372177848221,126
372177848477,142
372177848733,170
372177848989,167
372177849245,143
372177849501,130
372177849757,130
372177850013,151
372177850269,186
372177850525,207
372177850781,0
372177851037,220
372177851293,215
372177851549,178
372177851805,0
372177852061,0
372177852317,0
372177852573,0
372177852829,141
372177853085,127
372177853341,146
372177853597,176
372177853853,0
372177854109,0
372177854365,172
372177854621,145
372177854877,148
372177855133,172
372177855389,167
372177855645,141
372177855901,126
372177856157,122
372177856413,124
372177856669,129
372177856925,133
372177857181,132
372177857437,121
372177857693,0
372177857949,105
372177858205,106
372177858461,118
372177858717,129
372177858973,137
372177859229,157
372177859485,0
372177859741,0
372177859997,180
372177860253,0
372177860509,0
372177860765,161
372177861021,113
372177861277,0
372177861533,88
372177861789,102
372177862045,127
372177862301,135
372177862557,131
372177862813,130
372177863069,134
372177863325,133
372177863581,129
372177863837,130
372177864093,127
372177864349,120
372177864605,120
372177864861,127
372177865117,134
372177865373,132
372177865629,124
372177865885,120
372177866141,119
372177866397,117
372177866653,117
372177866909,137
372177867165,166
372177867421,158
372177867677,131
372177867933,121
372177868189,0
372177868445,0
372177868701,0
372177868957,0
372177869213,0
372177869469,0
372177869725,0
372177869981,0
372177870237,0
372177870493,125
372177870749,132
372177871005,134
372177871261,133
372177871517,131
372177871773,130
372177872029,131
372177872285,0
372177872541,0
372177872797,121
372177873053,109
372177873309,113
372177873565,140
372177873821,0
372177874077,0
372177874333,162
372177874589,143
372177874845,117
372177875101,0
372177875357,0
372177875613,0
372177875869,0
372177876125,115
372177876381,139
372177876637,170
372177876893,166
372177877149,142
372177877405,129
372177877661,125
372177877917,124
372177878173,125
372177878429,122
372177878685,115
372177878941,0
372177879197,0
372177879453,115
372177879709,137
372177879965,166
372177880221,159
372177880477,0
372177880733,0
372177880989,132
372177881245,0
372177881501,0
372177881757,0
372177882013,123
372177882269,130
372177882525,0
372177882781,0
372177883037,134
372177883293,133
372177883549,134
372177883805,132
372177884061,129
372177884317,132
372177884573,0
372177884829,0
372177885085,0
372177885341,137
372177885597,137
372177885853,131
372177886109,126
372177886365,123
372177886621,120
372177886877,119
372177887133,120
372177887389,118
372177887645,115
372177887901,115
372177888157,119
372177888413,139
372177888669,168
372177888925,161
372177889181,0
372177889437,149
372177889693,165
372177889949,158
372177890205,129
372177890461,115
372177890717,120
372177890973,136
372177891229,143
372177891485,131
372177891741,116
372177891997,118
372177892253,126
372177892509,130
372177892765,132
372177893021,130
372177893277,128
372177893533,130
372177893789,133
372177894045,137
372177894301,139
372177894557,0
372177894813,138
372177895069,133
372177895325,132
372177895581,133
372177895837,129
372177896093,0
372177896349,121
372177896605,0
372177896861,109
372177897117,99
372177897373,111
372177897629,133
372177897885,0
372177898141,0
372177898397,0
372177898653,0
372177898909,0
372177899165,145
372177899421,144
372177899677,137
372177899933,0
372177900189,133
372177900445,0
372177900701,0
372177900957,0
372177901213,134
372177901469,134
372177901725,0
372177901981,131
372177902237,0
372177902493,0
372177902749,126
372177903005,0
372177903261,119
372177903517,0
372177903773,118
372177904029,126
372177904285,149
372177904541,175
372177904797,169
372177905053,139
372177905309,120
372177905565,114
372177905821,120
372177906077,128
372177906333,129
372177906589,127
372177906845,0
372177907101,129
372177907357,134
372177907613,137
372177907869,139
372177908125,138
372177908381,0
372177908637,134
372177908893,130
372177909149,130
372177909405,129
372177909661,129
372177909917,127
372177910173,124
372177910429,123
372177910685,124
372177910941,130
372177911197,138
372177911453,140
372177911709,138
372177911965,137
372177912221,138
372177912477,141
372177912733,144
372177912989,144
372177913245,140
372177913501,136
372177913757,134
372177914013,134
372177914269,134
372177914525,135
372177914781,137
372177915037,139
372177915293,137
372177915549,150
372177915805,174
372177916061,166
372177916317,136
372177916573,115
372177916829,113
372177917085,126
372177917341,138
372177917597,141
372177917853,138
372177918109,135
372177918365,136
372177918621,137
372177918877,139
372177919133,139
372177919389,134
372177919645,129
372177919901,127
372177920157,128
372177920413,130
372177920669,131
372177920925,131
372177921181,131
372177921437,0
372177921693,133
372177921949,0
372177922205,135
372177922461,136
372177922717,0
372177922973,134
372177923229,131
372177923485,129
372177923741,125
372177923997,123
372177924253,124
372177924509,124
372177924765,124
372177925021,124
372177925277,0
372177925533,126
372177925789,128
372177926045,127
372177926301,124
372177926557,124
372177926813,126
372177927069,128
372177927325,129
372177927581,129
372177927837,129
372177928093,128
372177928349,126
372177928605,126
372177928861,127
372177929117,126
372177929373,129
372177929629,132
372177929885,132
372177930141,128
372177930397,124
372177930653,124
372177930909,125
372177931165,125
372177931421,124
372177931677,123
372177931933,0
372177932189,122
372177932445,124
372177932701,124
372177932957,120
372177933213,0
372177933469,0
372177933725,0
372177933981,115
372177934237,117
372177934493,0
372177934749,0
372177935005,141
372177935261,171
372177935517,164
372177935773,133
372177936029,116
372177936285,112
372177936541,113
372177936797,115
372177937053,118
372177937309,119
372177937565,116
372177937821,113
372177938077,119
372177938333,128
372177938589,146
372177938845,170
372177939101,161
372177939357,136
372177939613,128
372177939869,126
372177940125,125
372177940381,125
372177940637,0
372177940893,125
372177941149,125
372177941405,120
372177941661,111
372177941917,111
