time [s],RR_interval_quality [NA](/api/datatype/1004/)
5.23046875,128
5.83984375,128
6.4609375,128
7.1015625,128
7.75,128
8.390625,128
9.0390625,128
9.6796875,0
10.3203125,0
10.96484375,0
11.609375,0
12.24609375,0
12.89453125,0
13.5703125,0
14.2890625,0
15.05078125,0
15.7890625,0
16.5078125,0
17.23828125,0
17.984375,0
18.73046875,0
19.44921875,0
20.1484375,0
20.85546875,0
21.56640625,0
22.30078125,0
23.01171875,0
23.70703125,0
24.4140625,0
25.15234375,0
25.8984375,0
26.60546875,0
27.3203125,0
28.04296875,0
28.76953125,0
29.47265625,0
30.13671875,0
30.7890625,0
31.453125,0
32.140625,0
32.86328125,0
33.5546875,0
34.24609375,0
34.94140625,0
35.6640625,0
36.40234375,0
37.125,0
37.83203125,0
38.5390625,0
39.2734375,0
39.96875,0
40.63671875,0
41.2890625,0
41.953125,0
42.6328125,0
43.3046875,0
43.9609375,0
44.625,0
45.3125,0
46.0234375,0
46.75390625,0
47.48828125,0
48.1953125,0
48.9140625,0
49.63671875,0
50.37890625,0
51.109375,0
51.84375,0
52.5859375,0
53.3125,0
54.04296875,0
54.74609375,0
55.4296875,0
56.1171875,0
56.8125,0
57.5078125,0
58.18359375,0
58.86328125,0
59.60546875,0
60.41015625,0
61.1953125,0
61.95703125,0
62.69140625,0
63.41015625,0
64.125,0
64.83203125,0
65.50390625,0
66.15625,0
66.81640625,0
67.49609375,0
68.1796875,0
68.84375,0
69.51171875,0
70.19140625,0
70.84375,0
71.48828125,0
72.1328125,0
72.78125,0
73.43359375,0
74.07421875,0
74.703125,0
75.328125,0
75.9453125,0
76.546875,0
77.14453125,0
77.7265625,0
78.30859375,0
78.8984375,0
79.4921875,0
80.10546875,0
80.7265625,0
81.34765625,0
81.96875,0
82.59375,0
83.2421875,0
83.890625,0
84.55078125,0
85.2109375,0
85.8515625,0
86.48828125,0
87.12890625,0
87.76953125,0
88.40625,0
89.02734375,0
89.640625,0
90.25390625,0
90.8828125,0
91.5234375,0
92.1640625,0
92.78125,0
93.38671875,0
93.984375,0
94.58984375,0
95.21875,0
95.8515625,0
96.46875,0
97.09375,0
97.71484375,0
98.328125,0
98.91796875,0
99.515625,0
100.10546875,0
100.703125,0
101.30078125,0
101.8984375,0
102.49609375,0
103.078125,0
103.65234375,0
104.203125,0
104.75390625,0
105.3046875,0
105.85546875,0
106.41015625,0
106.98828125,0
107.5703125,0
108.1953125,1
108.875,1
